keys,en,ru
tutorial_welcome,Do you wish to start the tutorial?, Желаете пройти обучение?
global_yes,"YES","ДА"
global_no,NO, НЕТ
tutorial_1,"ALPHABATTLETTERS is a game about letters. At the start of each run you have a deck that consists of all the letters from English alphabet.","ALPHABATTLETTERS - игра про буквы. Вы начинаете каждый забег с колодой, которая состоит изо всех букв английского алфавита."
tutorial_2,"Each round you randomly draw the letters from your deck until your hand is full","Каждый раунд вы случайным образом тянете буквы из колоды в руку, пока она не заполнится"
tutorial_3,"Each letter has its own stats of Attack and HP, and also an element. Try out different letters to see what elements do!","У каждой буквы есть свои показатели атаки и здоровья, а также элемент. Попробуйте сыграть разными буквами, чтобы увидеть, как работают элементы!"
tutorial_4,"Drag and drop the letters to attack the enemy in front of your letter. The goal is to kill the enemy book (the big red healthbar)","Перетаскивайте буквы на поле чтобы атаковать врага по прямой. Цель - уничтожить вражескую книгу (большая красная полоса здоровья)"
tutorial_start,"Let's go","Поехали"
ui_current_round,"Current round: ","Текущий раунд: "
ui_end_round,"END ROUND","ЗАВЕРШИТЬ РАУНД"
ui_sort_alphabet,"SORT ALPHABET","СОРТИРОВАТЬ (АЛФАВИТ)"
ui_sort_element,"SORT ELEMENT","СОРТИРОВАТЬ (ЭЛЕМЕНТ)"
ui_coins,"COINS: ","МОНЕТЫ: "
ui_draw_a_letter,"DRAW A LETTER COST: 1 ENERGY","ВЗЯТЬ БУКВУ СТОИМОСТЬ: 1 ЭНЕРГИИ"
ui_energy,ENERGY,ЭНЕРГИЯ
gameover_lost,You lose,Вы проиграли
gameover_won,You win,Вы победили
gameover_try_again,New run,Новый забег
upgrade_panel_text,SELECT YOUR UPGRADE,ВЫБЕРИТЕ УЛУЧШЕНИЕ
nextround_label,ROUND %s COMPLETE,РАУНД %s ПРОЙДЕН
nextround_button,NEXT ROUND, СЛЕДУЮЩИЙ РАУНД

upgrades_pierce_name,The Pierce,Пронзание
upgrades_rebirth_name,The Rebirth,Перерождение
upgrades_scar_name,The Scar,Шрам
upgrades_vector_name,The Vector,Вектор
upgrades_assassin_name,The Assassin,Ассасин
upgrades_halo_name,The Halo,Нимб
upgrades_trajectory_name,The Trajectory,Траектория
upgrades_berserker_name,The Berserker,Берсерк
upgrades_dart_name,The Dart,Дротик
upgrades_line_name,The Line,Линия


upgrades_pierce_hint,"Pierces the Letters, allowing them to leave a legacy","Пронзает Буквы, позволяя им оставлять наследие"
upgrades_rebirth_hint,"Promotes the Letters in Alphabet, updating their stats","Продвигает Буквы по Алфавиту, обновляя их характеристики"
upgrades_scar_hint,"Scars the Letters, making them stronger with each received hit","Оставляет Шрам на Буквах, делая их сильнее с каждым полученым ударом"
upgrades_vector_hint,"Flips the Letters, swapping their stats","Переворачивает Буквы, меняя местами их характеристики"
upgrades_assassin_hint,"Letters become stronger with each kill","Буквы становятся сильнее с каждым убитым врагом"
upgrades_halo_hint,"Letter protect allies on the same line","Буквы защищают союзников на своей линии"
upgrades_trajectory_hint,"Letters shoot a bouncing projectile","Выстрелы Букв отскакивают"
upgrades_berserker_hint,"Enrages the Letters, making them shoot two projectiles at once","Разъяряет Буквы, позволяя им стрелять дважды за атаку"
upgrades_dart_hint,"Letters hit the whole column in front of them","Буквы атакуют по всему столбцу перед собой"
upgrades_line_hint,"Letters hit the whole row of nearest enemy","Буквы атакуют по всему ряду, в котором находится ближайший враг"
